"metro","date","time","cases","newCases","deaths","newDeaths","population","closePublicSchools","banGatherings","closeSocialRetail","stayAtHome"
"Atlanta-Sandy Springs-Marietta, GA",2020-03-01,0,0,0,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-02,1,2,2,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-03,2,2,0,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-04,3,2,0,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-05,4,2,0,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-06,5,2,0,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-07,6,6,4,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-08,7,10,4,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-09,8,15,5,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-10,9,19,4,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-11,10,25,6,0,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-12,11,25,0,1,1,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-13,12,33,8,1,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-14,13,56,23,1,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-15,14,77,21,1,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-16,15,94,17,1,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-17,16,113,19,1,0,5931098,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-18,17,155,42,1,0,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-19,18,210,55,4,3,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-20,19,342,132,6,2,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-21,20,370,28,12,6,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-22,21,417,47,15,3,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-23,22,537,120,15,0,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-24,23,683,146,20,5,5931098,1,1,0,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-25,24,826,143,20,0,5931098,1,1,1,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-26,25,951,125,20,0,5931098,1,1,1,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-27,26,1340,389,34,14,5931098,1,1,1,0
"Atlanta-Sandy Springs-Marietta, GA",2020-03-28,27,1481,141,41,7,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-03-29,28,1661,180,41,0,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-03-30,29,1946,285,52,11,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-03-31,30,2405,459,63,11,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-01,31,2556,151,78,15,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-02,32,2925,369,91,13,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-03,33,3474,549,105,14,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-04,34,3796,322,112,7,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-05,35,3879,83,118,6,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-06,36,4289,410,141,23,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-07,37,4803,514,158,17,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-08,38,5092,289,166,8,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-09,39,5384,292,183,17,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-10,40,5740,356,190,7,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-11,41,5904,164,192,2,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-12,42,6143,239,197,5,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-13,43,6749,606,215,18,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-14,44,7387,638,237,22,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-15,45,7832,445,259,22,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-16,46,8146,314,274,15,5931098,1,1,1,1
"Atlanta-Sandy Springs-Marietta, GA",2020-04-17,47,8713,567,298,24,5931098,1,1,1,1
"Austin-Round Rock-San Marcos, TX",2020-03-01,0,0,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-02,1,0,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-03,2,0,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-09,8,0,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-13,12,4,4,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-14,13,5,1,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-15,14,7,2,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-16,15,7,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-17,16,7,0,0,0,2168316,0,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-18,17,13,6,0,0,2168316,1,0,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-19,18,20,7,0,0,2168316,1,1,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-20,19,36,16,0,0,2168316,1,1,0,0
"Austin-Round Rock-San Marcos, TX",2020-03-21,20,77,41,0,0,2168316,1,1,1,0
"Austin-Round Rock-San Marcos, TX",2020-03-22,21,94,17,0,0,2168316,1,1,1,0
"Austin-Round Rock-San Marcos, TX",2020-03-23,22,99,5,0,0,2168316,1,1,1,0
"Austin-Round Rock-San Marcos, TX",2020-03-24,23,99,0,0,0,2168316,1,1,1,0
"Austin-Round Rock-San Marcos, TX",2020-03-25,24,148,49,0,0,2168316,1,1,1,0
"Austin-Round Rock-San Marcos, TX",2020-03-26,25,173,25,0,0,2168316,1,1,1,0
