"state","date","time","cases","newCases","deaths","newDeaths","population","closePublicSchools","stayAtHome"
"Alabama",2020-03-01,0,0,0,0,0,4903185,0,0
"Alabama",2020-03-02,1,0,0,0,0,4903185,0,0
"Alabama",2020-03-03,2,0,0,0,0,4903185,0,0
"Alabama",2020-03-04,3,0,0,0,0,4903185,0,0
"Alabama",2020-03-05,4,0,0,0,0,4903185,0,0
"Alabama",2020-03-06,5,0,0,0,0,4903185,0,0
"Alabama",2020-03-07,6,0,0,0,0,4903185,0,0
"Alabama",2020-03-08,7,0,0,0,0,4903185,0,0
"Alabama",2020-03-09,8,0,0,0,0,4903185,0,0
"Alabama",2020-03-10,9,0,0,0,0,4903185,0,0
"Alabama",2020-03-11,10,0,0,0,0,4903185,0,0
"Alabama",2020-03-12,11,0,0,0,0,4903185,0,0
"Alabama",2020-03-13,12,6,6,0,0,4903185,0,0
"Alabama",2020-03-14,13,12,6,0,0,4903185,0,0
"Alabama",2020-03-15,14,23,11,0,0,4903185,0,0
"Alabama",2020-03-16,15,29,6,0,0,4903185,0,0
"Alabama",2020-03-17,16,39,10,0,0,4903185,0,0
"Alabama",2020-03-18,17,51,12,0,0,4903185,1,0
"Alabama",2020-03-19,18,78,27,0,0,4903185,1,0
"Alabama",2020-03-20,19,106,28,0,0,4903185,1,0
"Alabama",2020-03-21,20,131,25,0,0,4903185,1,0
"Alabama",2020-03-22,21,157,26,0,0,4903185,1,0
"Alabama",2020-03-23,22,196,39,0,0,4903185,1,0
"Alabama",2020-03-24,23,242,46,0,0,4903185,1,0
"Alabama",2020-03-25,24,386,144,1,1,4903185,1,0
"Alabama",2020-03-26,25,538,152,3,2,4903185,1,0
"Alabama",2020-03-27,26,639,101,4,1,4903185,1,0
"Alabama",2020-03-28,27,720,81,4,0,4903185,1,0
"Alabama",2020-03-29,28,830,110,5,1,4903185,1,0
"Alabama",2020-03-30,29,947,117,11,6,4903185,1,0
"Alabama",2020-03-31,30,999,52,13,2,4903185,1,0
"Alabama",2020-04-01,31,1106,107,28,15,4903185,1,0
"Alabama",2020-04-02,32,1270,164,32,4,4903185,1,0
"Alabama",2020-04-03,33,1535,265,38,6,4903185,1,0
"Alabama",2020-04-04,34,1633,98,44,6,4903185,1,0
"Alabama",2020-04-05,35,1841,208,45,1,4903185,1,0
"Alabama",2020-04-06,36,2006,165,53,8,4903185,1,1
"Alabama",2020-04-07,37,2197,191,64,11,4903185,1,1
"Alabama",2020-04-08,38,2499,302,67,3,4903185,1,1
"Alabama",2020-04-09,39,2838,339,78,11,4903185,1,1
"Alabama",2020-04-10,40,3008,170,80,2,4903185,1,1
"Alabama",2020-04-11,41,3262,254,93,13,4903185,1,1
"Alabama",2020-04-12,42,3583,321,93,0,4903185,1,1
"Alabama",2020-04-13,43,3805,222,104,11,4903185,1,1
"Alabama",2020-04-14,44,3953,148,114,10,4903185,1,1
"Alabama",2020-04-15,45,4241,288,123,9,4903185,1,1
"Alabama",2020-04-16,46,4404,163,137,14,4903185,1,1
"Alabama",2020-04-17,47,4572,168,151,14,4903185,1,1
"Alaska",2020-03-01,0,0,0,0,0,731545,0,0
"Alaska",2020-03-02,1,0,0,0,0,731545,0,0
"Alaska",2020-03-03,2,0,0,0,0,731545,0,0
"Alaska",2020-03-04,3,0,0,0,0,731545,0,0
"Alaska",2020-03-05,4,0,0,0,0,731545,0,0
"Alaska",2020-03-06,5,0,0,0,0,731545,0,0
"Alaska",2020-03-07,6,0,0,0,0,731545,0,0
"Alaska",2020-03-08,7,0,0,0,0,731545,0,0
"Alaska",2020-03-09,8,0,0,0,0,731545,0,0
"Alaska",2020-03-10,9,0,0,0,0,731545,0,0
"Alaska",2020-03-11,10,0,0,0,0,731545,0,0
"Alaska",2020-03-12,11,1,1,0,0,731545,0,0
"Alaska",2020-03-13,12,1,0,0,0,731545,0,0
"Alaska",2020-03-14,13,1,0,0,0,731545,0,0
"Alaska",2020-03-15,14,1,0,0,0,731545,0,0
"Alaska",2020-03-16,15,3,2,0,0,731545,0,0
"Alaska",2020-03-17,16,6,3,0,0,731545,0,0
"Alaska",2020-03-18,17,9,3,0,0,731545,0,0
"Alaska",2020-03-19,18,12,3,0,0,731545,0,0
"Alaska",2020-03-20,19,14,2,0,0,731545,0,0
"Alaska",2020-03-21,20,21,7,0,0,731545,1,0
"Alaska",2020-03-22,21,22,1,0,0,731545,1,0
"Alaska",2020-03-23,22,36,14,0,0,731545,1,0
"Alaska",2020-03-24,23,42,6,0,0,731545,1,0
"Alaska",2020-03-25,24,59,17,0,0,731545,1,0
"Alaska",2020-03-26,25,69,10,0,0,731545,1,0
"Alaska",2020-03-27,26,85,16,1,1,731545,1,0
"Alaska",2020-03-28,27,102,17,1,0,731545,1,0
"Alaska",2020-03-29,28,114,12,1,0,731545,1,0
"Alaska",2020-03-30,29,119,5,2,1,731545,1,1
"Alaska",2020-03-31,30,133,14,2,0,731545,1,1
"Alaska",2020-04-01,31,143,10,2,0,731545,1,1
"Alaska",2020-04-02,32,146,3,2,0,731545,1,1
"Alaska",2020-04-03,33,156,10,2,0,731545,1,1
"Alaska",2020-04-04,34,169,13,3,1,731545,1,1
"Alaska",2020-04-05,35,185,16,4,1,731545,1,1
"Alaska",2020-04-06,36,189,4,4,0,731545,1,1
"Alaska",2020-04-07,37,211,22,4,0,731545,1,1
"Alaska",2020-04-08,38,224,13,5,1,731545,1,1
"Alaska",2020-04-09,39,233,9,5,0,731545,1,1
"Alaska",2020-04-10,40,244,11,5,0,731545,1,1
"Alaska",2020-04-11,41,255,11,6,1,731545,1,1
"Alaska",2020-04-12,42,270,15,6,0,731545,1,1
"Alaska",2020-04-13,43,275,5,6,0,731545,1,1
"Alaska",2020-04-14,44,283,8,7,1,731545,1,1
