"","Country","PopulationTotal","Pop_0_4","Pop_5_9","Pop_10_14","Pop_15_19","Pop_20_24","Pop_25_29","Pop_30_34","Pop_35_39","Pop_40_44","Pop_45_49","Pop_50_254","Pop_55_59","Pop_60_64","Pop_65_69","Pop_70_74","Pop_75_79","Pop_80_up"
"1","Afghanistan",37172386,5754493,5535955,5165545,4535272,3756183,2944229,2381621,1969917,1570314,1240156,987131,771744,584238,433365,294113,156451,105836
"2","Albania",2866376,175278,163056,177357,218330,245479,249607,207882,159910,162216,180622,197104,205303,176171,132957,105498,83274,80040
"3","Algeria",42228429,5001330,4418389,3441517,2864531,3267757,3745137,3749285,3411865,2811946,2302642,1971335,1630910,1331950,1021047,657302,494804,542253
"4","American_Samoa",55465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra",77006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola",30809762,5494816,4789386,3986556,3226438,2668482,2258882,1881709,1517093,1232198,964147,742636,624596,421037,281152,197656,113078,83033
"7","Antigua_and_Barbuda",96286,7149,6776,6611,7059,7306,6956,6801,6749,6692,6721,6402,5404,4055,3004,2189,1389,1577
"8","Arab_World",419790588,52778287,48137557,41741325,38071670,37468659,37677788,35890824,31751088,26688269,21783902,17836824,14280623,10979217,7983173,5245874,3450023,3219149
"9","Argentina",44494502,3669923,3587528,3498588,3438587,3432410,3396514,3161995,3062381,2889121,2438506,2195008,2021604,1795681,1556044,1232737,883691,1133078
"10","Armenia",2951776,199750,200251,177227,159904,187380,239762,247462,206130,166881,149824,167894,196800,168264,107949,63624,51370,86759
"11","Aruba",105845,5429,5845,6678,7008,7302,6289,5016,5829,6703,7373,8235,8402,6828,5268,3645,2333,2304
"12","Australia",24992369,1626916,1612867,1537796,1490400,1627648,1799513,1856502,1735369,1625335,1641604,1557530,1524611,1360003,1202275,995935,691722,1006565
"13","Austria",8847037,424615,406917,413402,444476,517890,588272,598943,578648,554103,641218,709275,649510,523092,426386,410774,357128,455631
"14","Azerbaijan",9942334,869927,793557,654983,651996,786187,929700,909907,756139,632291,618073,653408,617102,431752,248739,126325,104354,134877
"15","Bahamas__The",385640,25268,27937,31137,31779,32532,30094,26412,26587,27586,27279,24452,21378,15092,10240,7281,5079,4512
"16","Bahrain",1569439,147879,140751,124222,108768,145269,257999,288462,220962,163851,126993,97631,74714,49135,21835,12927,9029,7525
"17","Bangladesh",161356039,14690898,14971566,15585537,15867970,15281373,14484941,13673659,12461106,10721435,9186425,7990539,6077752,3914534,2743409,2382865,1671832,1627467
"18","Barbados",286641,14621,15784,17727,18448,18263,17955,17856,18384,18809,19579,19427,19555,16989,13642,10424,7516,12071
"19","Belarus",9485386,531646,525491,441811,400697,470669,674892,741570,653059,611384,578876,615581,690917,607782,445631,261615,242198,335928
"20","Belgium",11422068,626333,657771,641765,621433,662743,716584,729938,737709,740148,765886,795155,779201,694167,610719,497801,366425,642749
"21","Belize",383071,39171,37910,38475,39598,37969,34463,30087,25507,22012,19686,16340,12989,9316,6562,4466,3077,3967
"22","Benin",11485048,1838060,1617241,1410422,1222389,1052302,884758,733089,608392,503149,414834,338125,265248,201648,148341,105780,68668,50041
"23","Bermuda",63968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bhutan",754394,66782,67690,72155,76228,81280,83228,75626,61542,48539,39375,32686,25744,20854,15780,13095,9343,9672
"25","Bolivia",11353142,1196706,1181788,1164344,1125475,1044839,947075,841031,738188,638180,542603,456840,383442,321484,267807,213582,153666,185272
"26","Bosnia_and_Herzegovina",3323929,138782,173052,169504,183902,211083,195560,231253,234600,218599,224139,244356,260861,236071,196363,124740,103605,110280
"27","Botswana",2254126,263144,250568,229734,207877,192991,187229,177655,163055,130381,95144,71127,62080,53674,38928,25904,15860,10749
