"","Country","PopulationTotal","MPop_0_4","MPop_5_9","MPop_10_14","MPop_15_19","MPop_20_24","MPop_25_29","MPop_30_34","MPop_35_39","MPop_40_44","MPop_45_49","MPop_50_254","MPop_55_59","MPop_60_64","MPop_65_69","MPop_70_74","MPop_75_79","MPop_80_up","FPop_0_4","FPop_5_9","FPop_10_14","FPop_15_19","FPop_20_24","FPop_25_29","FPop_30_34","FPop_35_39","FPop_40_44","FPop_45_49","FPop_50_254","FPop_55_59","FPop_60_64","FPop_65_69","FPop_70_74","FPop_75_79","FPop_80_up"
"1","Afghanistan",37172386,2874440,2756089,2572695,2266701,1882540,1496467,1215807,999639,800970,624944,493084,381863,282759,200620,129427,70687,44550,2880053,2779866,2592850,2268571,1873643,1447762,1165814,970278,769344,615212,494047,389881,301479,232745,164686,85764,61286
"2","Albania",2866376,89622,84841,93640,112218,124600,131728,112384,82968,76829,83846,94047,99030,84793,63788,50446,39520,35743,85656,78215,83717,106112,120879,117879,95498,76942,85387,96776,103057,106273,91378,69169,55052,43754,44297
"3","Algeria",42228429,2528375,2232391,1737660,1447710,1647963,1874849,1867303,1696318,1392969,1135501,972522,811401,673471,514843,318190,228442,252092,2472955,2185998,1703857,1416821,1619794,1870288,1881982,1715547,1418977,1167141,998813,819509,658479,506204,339112,266362,290161
"4","American_Samoa",55465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra",77006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola",30809762,2803152,2425919,2002897,1616143,1332443,1123075,931243,747957,604437,469026,365101,310774,204875,136057,89436,47282,31631,2691664,2363467,1983659,1610295,1336039,1135807,950466,769136,627761,495121,377535,313822,216162,145095,108220,65796,51402
"7","Antigua_and_Barbuda",96286,3756,3555,3459,3694,3811,3536,3342,3282,3202,3208,3094,2605,1971,1461,1061,668,714,3393,3221,3152,3365,3495,3420,3459,3467,3490,3513,3308,2799,2084,1543,1128,721,863
"8","Arab_World",419790588,26042049,23761019,20576103,18778594,18736141,19229366,18483409,16366043,13794849,11154258,9029960,7199422,5392111,3785507,2389145,1489597,1284554,26736238,24376538,21165222,19293076,18732518,18448422,17407415,15385045,12893420,10629644,8806864,7081201,5587106,4197666,2856729,1960426,1934595
"9","Argentina",44494502,1914611,1870993,1823833,1790240,1781238,1750802,1616542,1553889,1449174,1208047,1076622,980487,858932,724782,547623,363805,385077,1755312,1716535,1674755,1648347,1651172,1645712,1545453,1508492,1439947,1230459,1118386,1041117,936749,831262,685114,519886,748001
"10","Armenia",2951776,111514,112450,99976,90656,100658,121102,123268,100220,81147,71144,77343,90873,77376,48261,27601,20871,34154,88236,87801,77251,69248,86722,118660,124194,105910,85734,78680,90551,105927,90888,59688,36023,30499,52605
"11","Aruba",105845,2912,3121,3559,3716,3888,3400,2587,2794,3215,3598,4000,4084,3277,2493,1711,1021,868,2517,2724,3119,3292,3414,2889,2429,3035,3488,3775,4235,4318,3551,2775,1934,1312,1436
"12","Australia",24992369,838328,830748,791982,764808,835756,918678,932772,870518,810871,815661,773679,756308,668176,591759,488508,333571,424172,788588,782119,745814,725592,791892,880835,923730,864851,814464,825943,783851,768303,691827,610516,507427,358151,582393
"13","Austria",8847037,222051,213286,216218,232700,271213,305646,308113,296230,281992,325526,362107,329119,258632,205257,191776,159745,170529,202564,193631,197184,211776,246677,282626,290830,282418,272111,315692,347168,320391,264460,221129,218998,197383,285102
"14","Azerbaijan",9942334,463318,425789,352217,348613,408332,466471,452190,378233,309631,295484,310206,292124,200900,111905,53783,41741,48721,406609,367768,302766,303383,377855,463229,457717,377906,322660,322589,343202,324978,230852,136834,72542,62613,86156
"15","Bahamas__The",385640,13399,14563,15965,16286,16750,15486,13229,13050,13628,13384,11992,10300,7068,4811,3307,2214,1890,11869,13374,15172,15493,15782,14608,13183,13537,13958,13895,12460,11078,8024,5429,3974,2865,2622
"16","Bahrain",1569439,55227,52956,46539,43070,67405,146636,177123,128227,88189,67805,46933,34376,24057,9601,5241,3129,2462,92652,87795,77683,65698,77864,111363,111339,92735,75662,59188,50698,40338,25078,12234,7686,5900,5063
"17","Bangladesh",161356039,7415617,7551914,7867700,8011389,7655740,7132476,6648320,6065818,5252799,4583255,4080983,3140467,2055570,1431419,1197553,819665,755969,7275281,7419652,7717837,7856581,7625633,7352465,7025339,6395288,5468636,4603170,3909556,2937285,1858964,1311990,1185312,852167,871498
"18","Barbados",286641,7690,8270,9356,9771,9523,9270,9115,9285,9482,9734,9546,9407,8143,6572,4913,3353,5095,6931,7514,8371,8677,8740,8685,8741,9099,9327,9845,9881,10148,8846,7070,5511,4163,6976
"19","Belarus",9485386,289202,288670,242001,219724,257798,369314,403561,349174,319266,294812,307802,336879,277890,190972,102105,78065,87638,242444,236821,199810,180973,212871,305578,338009,303885,292118,284064,307779,354038,329892,254659,159510,164133,248290
"20","Belgium",11422068,325737,342013,333014,322404,343088,366854,368267,373918,381522,395986,409065,397126,346761,297294,235258,164075,240881,300596,315758,308751,299029,319655,349730,361671,363791,358626,369900,386090,382075,347406,313425,262543,202350,401868
"21","Belize",383071,19880,19357,19601,19926,19002,17104,14647,12300,10666,9623,8154,6550,4689,3393,2327,1580,1999,19291,18553,18874,19672,18967,17359,15440,13207,11346,10063,8186,6439,4627,3169,2139,1497,1968
"22","Benin",11485048,934835,821929,716247,619880,531915,444626,365951,301618,247599,202799,163827,126572,95152,66962,43892,28350,19090,903225,795312,694175,602509,520387,440132,367138,306774,255550,212035,174298,138676,106496,81379,61888,40318,30951
"23","Bermuda",63968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bhutan",754394,31934,32346,34433,36856,40814,42709,38716,32037,25421,20092,16444,12733,10386,8225,6940,4893,4831,34848,35344,37722,39372,40466,40519,36910,29505,23118,19283,16242,13011,10468,7555,6155,4450,4841
"25","Bolivia",11353142,609276,601155,591836,571124,528565,477147,421637,368611,317243,268407,224895,187606,155752,128301,101003,70557,78046,587430,580633,572508,554351,516274,469928,419394,369577,320937,274196,231945,195836,165732,139506,112579,83109,107226
"26","Bosnia_and_Herzegovina",3323929,72748,90619,88312,96076,110888,102133,120434,121421,113119,115232,121646,127848,115541,93042,54348,42153,42815,66034,82433,81192,87826,100195,93427,110819,113179,105480,108907,122710,133013,120530,103321,70392,61452,67465
"27","Botswana",2254126,137532,130846,120011,108558,100051,94758,87007,78546,62725,46336,33664,26756,22646,17167,11446,6413,3587,125612,119722,109723,99319,92940,92471,90648,84509,67656,48808,37463,35324,31028,21761,14458,9447,7162
"28","Brazil",209469333,7496824,7470234,7857057,8508563,8703050,8561440,8682493,8378225,7340611,6539768,6042563,5222824,4140944,3126171,2122600,1381082,1421792,6923704,6919248,7307256,7954998,8210465,8182537,8426992,8256421,7354429,6687359,6316406,5592224,4572589,3593005,2581561,1818562,2298490
"29","British_Virgin_Islands",29802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Brunei_Darussalam",428962,17526,16977,16391,18023,18327,18843,20836,20126,17977,15803,13353,10753,7802,4628,2469,1541,1529,17878,17170,16748,18053,17889,18332,19499,18963,17909,16443,13715,10591,8104,5216,2848,1696,1852
"31","Bulgaria",7024216,160350,185149,181486,154227,169285,224088,250286,258156,279057,261150,238085,233255,222608,206768,165806,104316,118708,143140,165725,161955,136599,149775,199101,220315,225836,248631,235294,222589,230451,240780,249813,221852,157308,203614
"32","Burkina_Faso",19751535,1702007,1507472,1308597,1100543,913151,753314,625592,514490,401395,308155,238059,174381,122962,82989,55247,31002,17552,1636359,1450793,1256088,1055721,883434,737187,620807,520292,418242,334637,272807,215836,167182,122260,84139,50315,30811
"33","Burundi",11175378,1001944,860850,697190,567679,507679,476450,399821,287228,185737,131128,117827,107983,88990,54201,26741,16489,12593,965170,835790,681768,558591,504637,477271,400923,288479,192913,146836,134172,118603,96656,61319,34431,23230,19741
"34","Cabo_Verde",543767,27060,26508,25537,24634,25173,27558,26567,22036,17463,14407,11829,9225,5967,3483,1403,1703,2313,26506,26005,25430,24468,24417,25856,23779,19683,15269,13076,12919,11185,7994,5293,3026,3330,4632
"35","Cambodia",16249798,901884,886964,795838,742947,819306,728941,697226,633790,280495,390061,334652,257989,164457,133272,79288,47499,35619,831432,804828,732933,698943,748160,683545,709237,648522,302448,412496,365710,317243,248930,186664,113725,70567,54847
"36","Cameroon",25216237,2021214,1814591,1585672,1348769,1158149,1024328,879279,711302,553609,431681,333025,251649,187886,136183,88340,50622,30940,1981519,1782919,1563421,1334922,1150960,1022176,878207,708963,552349,434529,341541,266436,207315,158159,109567,67446,46810
"37","Canada",37058856,1000412,1016923,992584,1042600,1254511,1338578,1287939,1272820,1191822,1182714,1289355,1382204,1204360,1002010,785973,506396,633129,938279,956854,931618,974986,1179295,1286280,1271384,1265963,1185803,1162184,1259847,1357682,1209295,1036563,832108,585643,950547
"38","Caribbean_small_states",7358965,292820,290354,291271,305230,313309,297043,276346,251194,223164,219058,206900,185376,141885,107014,78008,51402,59200,275541,275047,277724,289992,298284,286096,273576,259469,232939,227277,212578,193198,152273,113467,85891,61187,75040
"39","Cayman_Islands",64174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Central_African_Republic",4666377,366564,348328,324434,282281,223365,168562,134296,108431,88998,74908,59765,46237,34265,23236,14895,8981,5274,354622,338377,316827,276622,218937,165419,131568,107263,89720,76746,63751,52727,42137,30856,21590,14613,11046
"41","Central_Europe_and_the_Baltics",102511922,2556164,2743158,2665256,2493571,2872888,3502518,3839730,3989067,4047350,3644879,3248213,3212207,3339948,2811267,1910171,1234577,1504589,2268171,2440275,2374547,2227456,2559783,3082652,3360043,3553741,3681886,3370399,3102850,3235902,3605928,3314622,2519607,1916374,3001316
"42","Chad",15477751,1416820,1210753,1034724,870696,716697,577214,458614,362252,282858,215815,165672,133028,105366,76228,48650,29847,20500,1393191,1198717,1027573,863632,709984,574000,455370,358514,280539,218149,173075,144660,120335,89099,55378,35642,27877
"43","Channel_Islands",170499,4415,4370,4423,4814,5326,5642,5906,5896,5990,6763,6582,5774,5052,4386,3343,2543,3121,4247,4118,4057,4473,4899,5355,5645,5630,5915,6723,6647,5853,5025,4441,3637,2802,4880
"44","Chile",18729160,612572,642616,627706,650810,741521,792331,739928,678668,644164,612746,586399,528674,443570,344333,238321,160852,183205,573387,602491,588881,611572,698133,746549,700368,650567,627958,608881,594865,549970,477379,385201,283096,213836,315280
"45","China",1392730000,44502954,45090038,43625048,43589744,46347874,57291349,61108782,47083767,52466043,62347194,57460219,44189050,38158415,32164071,18085556,11272049,9975602,41440218,41080872,39520164,40141168,43413434,55429191,60765684,47198886,52717795,63482681,59208990,45345803,40038312,34969958,20714145,13709363,15581093
"46","Colombia",49648685,1908079,1904352,2045619,2197279,2236491,2150291,1944506,1770056,1549103,1395137,1349158,1149336,896914,708007,481031,317712,361638,1754705,1754550,1887033,2034189,2088962,2034682,1883053,1780883,1640579,1520120,1449707,1261188,1019369,801594,563088,395139,495866
"47","Comoros",832322,61923,56091,49491,43699,38985,34968,30651,25105,19863,16144,13204,10511,7797,5095,3078,1917,1312,60694,55077,48688,43061,38479,34641,30501,25131,20041,16424,13604,11093,8528,5762,3657,2499,1954
"48","Congo__Dem._Rep.",84068091,7667821,6508606,5395045,4399348,3610945,3008502,2485921,2048395,1677422,1371952,1105780,867943,659721,485279,334600,194071,130524,7487841,6374847,5301343,4345730,3588592,3003128,2497223,2069462,1705878,1406660,1149037,919227,715774,548065,401964,248154,188950
"49","Congo__Rep.",5244363,406656,374753,323289,268176,223222,190683,173084,159333,139467,112384,85380,60750,41607,27843,17165,9512,5437,397162,367381,318143,265022,221299,189322,172422,159294,139080,112203,86689,63931,46327,33638,23112,14084,9633
