PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,"Working Out of House (0= maybe, 1=true,2=false)",Rationale,Percentage of total,Essential Location,EMP_PRSE,JOBS_1000,ANNUAL,HOURLY
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3051,Industrial Production Managers,"2,810",0,essential industry,0.099,critical manufacturing,6.5,0.985,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-2014,"Cooks, Restaurant","22,880",0,take out,0.803,,4.3,8.031,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-2015,"Cooks, Short Order","2,320",0,take out,0.081,,17.5,0.813,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35-2019,"Cooks, All Other",240,0,take out,0.008,,42.5,0.084,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-2011,Cashiers,"68,890",0,"grocery stores, big box stores, other essential businesses",2.418,,5.8,24.183,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",41-2031,Retail Salespersons,"80,270",0,"grocery stores, big box stores, other essential businesses",2.818,,4.2,28.177,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",53-3031,Driver/Sales Workers,"7,340",0,"grocery stores, big box stores, other essential businesses",0.258,,9.7,2.578,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic","2,490",0,warehouses,0.087,,8.4,0.875,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",370,0,warehouses,0.013,,12.8,0.131,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","1,080",0,warehouses,0.038,,16.6,0.377,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19-4092,Forensic Science Technicians,270,1,,0.009,,17.7,0.096,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3021,Computer and Information Systems Managers,"8,200",2,,0.288,"healthcare, hotels",3.3,2.879,,
PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11-3061,Purchasing Managers,"1,170",2,,0.041,critical manufacturing,6.3,0.410,,
