SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
10,0,0,0,United States,308745538,308758105,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,3791712,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038,389145,1461043,1435445,1332557,1380747,1292550,1259439,1113819,1000139,956674,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,0,0,0,0,0,0,0,0,0,0,12.79955658,12.59050975,12.51324684,12.49638333,12.49694784,12.31447749,12.04451398,11.73754556,11.57903663,8.093183572,7.999934581,8.281729755,8.142738403,8.451003786,8.400602288,8.6064129,8.668095277,8.657569152,4.706373005,4.59057517,4.231517085,4.353644922,4.045944051,3.913875199,3.438101076,3.069450288,2.921467476,2.493772776,2.682082747,2.636187477,2.921499948,3.260435227,3.252788262,2.871956919,2.153911416,1.818059045,0,0,0,0,0,0,0,0,0,2.493772776,2.682082747,2.636187477,2.921499948,3.260435227,3.252788262,2.871956919,2.153911416,1.818059045
20,1,0,0,Northeast Region,55317240,55318443,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,61691,224089,170993,126590,104205,28673,7646,16910,-12620,-63817,163466,646249,637860,635751,632433,634504,628030,618490,610713,602740,110878,470811,460915,479963,470268,489209,480502,497919,503076,505588,52588,175438,176945,155788,162165,145295,147528,120571,107637,97152,45032,204242,205018,191468,219965,224592,234098,213507,179097,134145,-32807,-154970,-207154,-217700,-275141,-340104,-373661,-316475,-298739,-294331,12225,49272,-2136,-26232,-55176,-115512,-139563,-102968,-119642,-160186,-3122,-621,-3816,-2966,-2784,-1110,-319,-693,-615,-783,11.64576734,11.45381959,11.38552925,11.3027493,11.32631318,11.20711514,11.03445741,10.89529129,10.76038747,8.484276753,8.2764827,8.595555136,8.404560336,8.732701988,8.574496819,8.883354622,8.975017006,9.025985968,3.161490587,3.177336887,2.789974109,2.898188962,2.593611187,2.632618317,2.15110279,1.920274284,1.734401506,3.680554729,3.681433518,3.42895963,3.931182037,4.009114724,4.17744891,3.809170558,3.195140736,2.394817297,-2.792645814,-3.719788892,-3.89874293,-4.917279371,-6.071079798,-6.66793282,-5.646218871,-5.329587588,-5.254530321,0.887908915,-0.038355374,-0.469783301,-0.986097334,-2.061965074,-2.49048391,-1.837048313,-2.134446852,-2.859713024
20,2,0,0,Midwest Region,66927001,66929725,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,44691,183384,178943,223636,184788,115416,126957,139241,109847,92376,212570,834866,830701,830890,836538,838012,831641,818785,801587,792343,140862,586660,584671,605165,596898,626084,619187,640407,627911,622854,71708,248206,246030,225725,239640,211928,212454,178378,173676,169489,24720,114945,118864,124489,132052,140410,143098,124250,94152,85675,-50673,-179592,-184359,-124956,-183669,-234550,-227445,-162183,-157067,-161549,-25953,-64647,-65495,-467,-51617,-94140,-84347,-37933,-62915,-75874,-1064,-175,-1592,-1622,-3235,-2372,-1150,-1204,-914,-1239,12.44840389,12.35293242,12.31886919,12.36516942,12.3595349,12.24368775,12.03084281,11.75662894,11.60384188,8.747488374,8.694345316,8.97224479,8.822964286,9.233885731,9.115871259,9.40984013,9.209376688,9.121680043,3.700915521,3.6585871,3.3466244,3.542205136,3.125649171,3.127816496,2.621002679,2.547252247,2.482161837,1.713905927,1.767566138,1.845688005,1.951908165,2.07085614,2.106735034,1.825671231,1.380898302,1.254708066,-2.677835428,-2.741508999,-1.8526118,-2.71487763,-3.45929284,-3.348518846,-2.383040944,-2.303653174,-2.365880751,-0.963929501,-0.973942861,-0.006923795,-0.762969465,-1.3884367,-1.241783812,-0.557369713,-0.922754872,-1.111172685
20,3,0,0,South Region,114555744,114563030,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,1011015,368759,1509634,1504955,1504774,1525313,1545679,1541412,1519344,1494950,1481244,228435,963051,960791,1011227,1006109,1052226,1058081,1092315,1116929,1122130,140324,546583,544164,493547,519204,493453,483331,427029,378021,359114,67464,279639,338025,323413,358590,422001,428463,395903,299648,242942,91267,312610,344278,300008,374593,453543,441519,366143,348608,407913,158731,592249,682303,623421,733183,875544,869982,762046,648256,650855,4595,1010,8219,6224,7250,4307,1106,1354,967,1046,13.07760266,12.90434852,12.77366878,12.81837907,12.84739546,12.66831884,12.35771768,12.05062454,11.84285193,8.342683271,8.238373853,8.584065622,8.455108262,8.745906193,8.695992676,8.884439853,9.003439589,8.971661274,4.734919387,4.66597467,4.189603161,4.363270809,4.10148927,3.97232616,3.473277824,3.047184948,2.871190652,2.422446586,2.898420491,2.745376078,3.013507753,3.507593577,3.521385518,3.220111773,2.415428972,1.942371502,2.708066569,2.952037304,2.546696597,3.147993278,3.769764796,3.628688154,2.978056203,2.810090049,3.261348743,5.130513155,5.850457794,5.292072674,6.161501031,7.277358373,7.150073671,6.198167975,5.225519021,5.203720245
20,4,0,0,West Region,71945553,71946907,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,153529,687893,689494,689307,758663,816762,817126,697648,577491,512448,243041,982736,963460,969161,968911,974181,961571,945363,917271,915385,118516,491920,495154,511664,509173,532307,545445,557522,576466,584466,124525,490816,468306,457497,459738,441874,416126,387841,340805,330919,37200,175339,176764,190798,215939,254602,241050,196749,128926,132586,-7787,21952,47235,42648,84217,121111,159587,112515,107198,47967,29413,197291,223999,233446,300156,375713,400637,309264,236124,180553,-409,-214,-2811,-1636,-1231,-825,363,543,562,976,13.56538583,13.17406641,13.12826453,12.99741102,12.93146189,12.62714226,12.29204754,11.82872255,11.72202282,6.790312555,6.770589001,6.931005627,6.830277249,7.065943273,7.162665688,7.249159245,7.433851471,7.484417803,6.775073278,6.403477409,6.197258907,6.167133768,5.865518616,5.464476569,5.0428883,4.394871078,4.237605019,2.420325689,2.417018532,2.584551603,2.896703555,3.379634852,3.165416429,2.558221617,1.662572875,1.697838743,0.303018664,0.645877387,0.577710232,1.129724984,1.607650201,2.095661944,1.462972138,1.382378163,0.614244573,2.723344353,3.062895919,3.162261835,4.026428538,4.987285053,5.261078373,4.021193755,3.044951038,2.312083317
40,3,6,1,Alabama,4779736,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504,14226,59690,59067,57929,58903,59647,59389,58961,58271,57313,11075,48833,48366,50851,49712,51876,51710,53195,53665,53879,3151,10857,10701,7078,9191,7771,7679,5766,4606,3434,924,4665,5817,5046,3684,4580,5777,3011,3379,2772,1244,-1893,-114,2297,-959,-1544,-2157,2298,5279,9387,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,-7,3,115,72,-198,-259,-121,-114,-69,-89,12.45551936,12.28686577,12.01140118,12.18025865,12.30577712,12.22515076,12.10945438,11.93812808,11.70744243,10.18998788,10.06088933,10.5437995,10.27969743,10.70254151,10.6444383,10.92522898,10.99448514,11.0059723,2.265531473,2.225976444,1.467601677,1.900561215,1.603235602,1.580712467,1.184225403,0.943642943,0.701470125,0.973446101,1.210027565,1.046272685,0.761796052,0.944900149,1.189188166,0.618401437,0.69226433,0.566242046,-0.395012534,-0.023713794,0.476275933,-0.198306844,-0.318542758,-0.44401573,0.471964963,1.081522166,1.917501475,0.578433568,1.186313771,1.522548617,0.563489208,0.626357391,0.745172435,1.0903664,1.773786496,2.483743522
40,4,9,2,Alaska,710231,710249,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594,2892,11716,11124,11350,11443,11330,11246,10803,10284,10031,920,3937,3940,4039,4024,4350,4447,4463,4664,4819,1972,7779,7184,7311,7419,6980,6799,6340,5620,5212,430,1314,2348,2863,1198,2273,2303,2612,537,659,1168,-892,-1319,-3564,-9641,-8166,-5185,-10753,-10757,-9482,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,91,17,102,15,239,128,41,45,39,17,16.31711696,15.31629091,15.46836787,15.5332979,15.37541874,15.20804569,14.58725482,13.94592901,13.67847471,5.483141811,5.424863914,5.504558399,5.46237794,5.903183716,6.013709689,6.026373994,6.32475816,6.571285976,10.83397515,9.891426994,9.963809471,10.07091996,9.47223502,9.194335997,8.560880826,7.621170853,7.107188733,1.830035138,3.232888444,3.901844688,1.626224844,3.084583123,3.114363259,3.526974876,0.72821508,0.898625744,-1.242306958,-1.816090229,-4.857203796,-13.08717339,-11.08170074,-7.011712332,-14.51973999,-14.58735496,-12.92984719,0.58772818,1.416798215,-0.955359108,-11.46094855,-7.997117618,-3.897349072,-10.99276511,-13.85913988,-12.03122145
40,4,8,4,Arizona,6392017,6392288,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693,20934,86097,85577,86093,86129,86764,84957,83021,81767,81942,11505,48174,48754,50612,50236,52846,56032,56333,60127,60523,9429,37923,36823,35481,35893,33918,28925,26688,21640,21419,2550,16489,15100,17997,21312,19511,20062,13385,7937,7782,3122,11062,29844,24050,39948,45561,62320,62686,84113,91017,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,-217,-3,568,258,496,273,89,177,326,475,13.36929141,13.13777857,13.0565187,12.89049752,12.79696616,12.3387633,11.87279587,11.51483112,11.35186951,7.480542228,7.484712673,7.675612702,7.51857137,7.794344123,8.13782955,8.05615699,8.467379879,8.384579318,5.888749179,5.653065897,5.380905996,5.371926152,5.002622033,4.200933747,3.816638875,3.047451238,2.967290194,2.560440503,2.318151564,2.729352758,3.189660662,2.877709726,2.913712458,1.914182829,1.117727379,1.07808265,1.717726536,4.581650019,3.647326434,5.978817762,6.719867399,9.051069702,8.964696662,11.84520638,12.60907846,4.278167039,6.899801583,6.376679192,9.168478424,9.597577125,11.96478216,10.87887949,12.96293376,13.68716111
40,3,7,5,Arkansas,2915918,2916031,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071,9438,38453,38594,37978,38225,38796,38612,37737,37239,36640,6979,29455,29772,30994,29967,31318,31134,32340,31743,31322,2459,8998,8822,6984,8258,7478,7478,5397,5496,5318,801,3662,3732,2321,3100,3303,3366,2039,588,268,2469,5996,-1293,-2150,-3371,-106,1069,3981,2294,2515,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,204,47,236,81,5,-19,-43,10,10,-30,13.11800112,13.09862781,12.84871482,12.8990523,13.05067413,12.939752,12.59734383,12.3901237,12.15753632,10.04838954,10.10448119,10.48588834,10.11238458,10.53513281,10.43370555,10.79572037,10.56149995,10.39296814,3.069611579,2.994146617,2.362826487,2.786667729,2.515541322,2.506046449,1.801623464,1.828623751,1.764568181,1.24926846,1.266623801,0.78524059,1.046097113,1.111103636,1.128022512,0.680657818,0.195638786,0.088925211,2.045498003,-0.43883831,-0.727387879,-1.137546248,-0.03565758,0.358246009,1.328935151,0.763257439,0.83450338,3.294766462,0.827785491,0.05785271,-0.091449135,1.075446056,1.486268521,2.009592969,0.958896225,0.923428591
40,4,9,6,California,37253956,37254519,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635,123327,509771,497451,499629,498914,500380,490358,481943,465017,462617,57319,238388,239535,247704,244055,253798,260121,265241,277578,282520,66008,271383,257916,251925,254859,246582,230237,216702,187439,180097,19635,99179,98297,116528,131001,156870,141892,112814,71300,74028,-20356,-51326,-41795,-53692,-46321,-79938,-122369,-137546,-155281,-203414,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,-304,-369,-3987,-2774,-3354,-2441,-688,-590,-367,-76,13.60153359,13.1623133,13.11197238,12.98278811,12.91053061,12.55956926,12.27479737,11.79945442,11.71570662,6.360586202,6.337980458,6.500599459,6.350822693,6.548356946,6.662494982,6.755528203,7.043331658,7.154776917,7.240947385,6.824332844,6.611372924,6.631965421,6.362173668,5.897074274,5.519269165,4.756122757,4.560929699,2.64625979,2.600891165,3.058092941,3.408920627,4.047473795,3.63428842,2.873304499,1.809183535,1.874748073,-1.369462588,-1.105875522,-1.409061566,-1.205369519,-2.06251648,-3.134244634,-3.503213614,-3.940137847,-5.15142925,1.276797203,1.495015642,1.649031375,2.203551108,1.984957315,0.500043786,-0.629909115,-2.130954312,-3.276681177
